features,importance
BT_HCIDTL1,0.0
SWIOTLB_XEN,0.0
XEN_PVHVM,0.0
BITREVERSE,0.0
SERIO_ALTERA_PS2,0.0
XEN_PVHVM_SMP,0.0
BT_HCIUART_ATH3K,0.0
XEN_512GB,0.0
BT_HCIUART_LL,0.0
SERIO_RAW,0.0
MOUSE_PS2_CYPRESS,0.0
ACPI_AC,0.0
MTD_SPI_NOR,0.0
ATM_NICSTAR,0.0
XILINX_GMII2RGMII,0.0
MOUSE_PS2_LIFEBOOK,0.0
MTD_MCHP23K256,0.0
ATM_NICSTAR_USE_SUNI,0.0
SLHC,0.0
MOUSE_PS2_TRACKPOINT,0.0
POWER_SUPPLY,0.0
ACPI_BATTERY,0.0
ATM_NICSTAR_USE_IDT77105,0.0
PLIP,0.0
MOUSE_PS2_ELANTECH,0.0
ACPI_BUTTON,0.0
MTD_SST25L,0.0
ATM_IDT77252,0.0
MICREL_KS8995MA,0.0
KVM_DEBUG_FS,0.0
BT_HCIUART_MRVL,0.0
FSL_FTM_TIMER,0.0
LGUEST_GUEST,0.0
USERIO,0.0
TTY,0.0
BT_HCIBCM203X,0.0
GAMEPORT_NS558,0.0
ARMV7M_SYSTICK,0.0
GAMEPORT_L4,0.0
BT_HCIBPA10X,0.0
VIRTUALIZATION,0.0
VIRTIO_CONSOLE,0.0
BT_HCIBFUSB,0.0
GAMEPORT_EMU10K1,0.0
MTK_TIMER,0.0
GAMEPORT_FM801,0.0
PARAVIRT_TIME_ACCOUNTING,0.0
OXNAS_RPS_TIMER,0.0
SERIO_PS2MULT,0.0
XEN_SAVE_RESTORE,0.0
BT_HCIUART_3WIRE,0.0
HIBERNATE_CALLBACKS,0.0
BT_HCIUART_INTEL,0.0
SERIO_ARC_PS2,0.0
ATMEL_ST,0.0
TS4800_IRQ,0.0
SERIO_SUN4I_PS2,0.0
XEN_DEBUG_FS,0.0
BT_HCIUART_BCM,0.0
SERIO_OLPC_APSP,0.0
XEN_PVH,0.0
BT_HCIUART_QCA,0.0
HYPERV_KEYBOARD,0.0
KVM_GUEST,0.0
BT_HCIUART_AG6XX,0.0
CLKSRC_SAMSUNG_PWM,0.0
SERIO_APBPS2,0.0
USB_FOTG210_UDC,0.0
NFT_DUP_NETDEV,0.0
USB_GR_UDC,0.0
NFT_FWD_NETDEV,0.0
NETFILTER_XT_MARK,0.0
NETFILTER_XT_CONNMARK,0.0
NETFILTER_XT_SET,0.0
USB_ETH_RNDIS,0.0
RENESAS_OSTM,0.0
NETFILTER_XT_TARGET_AUDIT,0.0
USB_ETH,0.0
NETFILTER_XT_TARGET_CHECKSUM,0.0
USB_R8A66597,0.0
IP_NF_MANGLE,0.0
USB_RENESAS_USBHS_UDC,0.0
IP6_NF_MANGLE,0.0
USB_RENESAS_USB3,0.0
IP_SET,0.0
WL1251_SDIO,0.0
MLX5_EN_IPSEC,0.0
I2C_IMX_LPI2C,0.0
MOXA_INTELLIO,0.0
IDE_GENERIC,0.0
SATA_ZPODD,0.0
SND_SOC_NAU8810,0.0
INFINIBAND_I40IW,0.0
NF_DUP_NETDEV,0.0
SATA_PMP,0.0
WL12XX,0.0
SND_SOC_NAU8824,0.0
NFT_FIB,0.0
NFT_FIB_INET,0.0
NFT_FIB_IPV4,0.0
NFT_FIB_IPV6,0.0
USB_FUSB300,0.0
MOXA_SMARTIO,0.0
NET_SCH_PRIO,0.0
CAIF_SPI_SYNC,0.0
SND_AU8820,0.0
COMEDI_PCI_DRIVERS,0.0
IIO_CROS_EC_SENSORS,0.0
NET_SCH_MULTIQ,0.0
CAIF_HSI,0.0
SND_AU8830,0.0
NETFILTER_XT_TARGET_CLASSIFY,0.0
NET_SCH_RED,0.0
CAIF_VIRTIO,0.0
SND_AW2,0.0
COMEDI_ADDI_WATCHDOG,0.0
IIO_MS_SENSORS_I2C,0.0
SCHED_DEBUG,0.0
NET_SCH_SFB,0.0
B53,0.0
COMEDI_8255_PCI,0.0
USB_PXA27X,0.0
NETFILTER_XT_TARGET_CONNMARK,0.0
FB_TMIO,0.0
NET_SCH_HTB,0.0
CAIF_TTY,0.0
SND_ATIIXP,0.0
COMEDI_PCMUIO,0.0
