feature,importance
IP_VS_PROTO_SCTP,3.1948966057599207e-06
8139TOO_TUNE_TWISTER,9.876178381538614e-06
HISAX_AVM_A1_PCMCIA,1.7575512399971368e-07
PWRSEQ_SIMPLE,2.3773307911170452e-06
PNFS_BLOCK,3.1481257932667737e-09
CRYPTO_SHA512,6.0334074737217144e-06
CRYPTO_TWOFISH_COMMON,2.0726528194155723e-06
IP_VS_RR,3.088413921593264e-07
8139TOO_8129,9.711710554270305e-08
HISAX_ELSA,8.465665887434132e-07
MMC_BLOCK,9.452803996064442e-06
PNFS_FLEXFILE_LAYOUT,3.842066090281763e-09
CRYPTO_TWOFISH_586,0.0
NFC_MICROREAD,7.353136159805836e-07
CHARGER_BQ24257,3.076549186043e-05
SND_SOC_SSM4567,3.980894835275851e-06
BH1780,4.025799755275251e-06
ZONE_DMA32,0.0
NFC_MICROREAD_I2C,4.7897778216074965e-06
CHARGER_BQ24735,1.0440296520113874e-05
CM32181,1.6323294514014304e-05
AUDIT_ARCH,2.4164931713774716e-08
NFC_MICROREAD_MEI,3.955202460256117e-06
CHARGER_BQ25890,1.5049241320520208e-05
SND_SOC_INTEL_SKL_NAU88L25_MAX98357A_MACH,1.4240354645851577e-07
CM3232,5.566552948491278e-06
NFC_MRVL,3.9880273073374095e-06
CHARGER_SMB347,1.3574338722562332e-05
CM3323,3.05969325224662e-06
NFC_MRVL_USB,9.22750264792836e-07
CHARGER_TPS65090,9.781138658441388e-06
CM3605,2.8147243693713076e-06
NFC_MRVL_UART,7.1127470974698066e-06
MFD_TPS65090,7.450050365951381e-06
FB_SSD1307,5.15434201236815e-06
CM36651,1.0358348337762228e-05
NFC_MRVL_I2C,7.286766361520735e-06
CHARGER_TPS65217,1.4845087894263439e-05
FB_SM712,6.236258061224619e-05
IIO_CROS_EC_LIGHT_PROX,9.645746249276508e-06
KASAN,0.008213900549057152
NFC_MRVL_SPI,2.254500721827748e-07
BATTERY_GAUGE_LTC2941,8.776262064021182e-06
SND_SOC_CS42XX8_I2C,5.000590770497429e-07
GP2AP020A00F,7.239132071741747e-06
NFC_ST21NFCA,1.397916569796908e-07
LCD_L4F00242T03,5.725880433632965e-06
SND_SOC_BT_SCO,1.4752615856755426e-06
SENSORS_ISL29018,7.78493133706125e-06
NFC_ST21NFCA_I2C,4.981712550662578e-06
LCD_LMS283GF05,5.493596857252391e-06
HAVE_INTEL_TXT,6.689105326796003e-07
NFC_ST_NCI,1.0562943730032903e-06
LCD_LTV350QV,4.660257106972962e-06
SENSORS_ISL29028,2.3804411570771846e-05
